CP,Estado,Municipio,Tipo de Asentamiento,Asentamiento,Clave de Oficina
6070,Ciudad de México,Cuauhtémoc,Colonia,Centro (Área 7),6002
6080,Ciudad de México,Cuauhtémoc,Colonia,Centro (Área 8),6002
6090,Ciudad de México,Cuauhtémoc,Colonia,Centro (Área 9),6002
6100,Ciudad de México,Cuauhtémoc,Colonia,Hipódromo,6401
6140,Ciudad de México,Cuauhtémoc,Colonia,Condesa,6401
6170,Ciudad de México,Cuauhtémoc,Colonia,Hipódromo Condesa,6401
6200,Ciudad de México,Cuauhtémoc,Colonia,Morelos,6401
6220,Ciudad de México,Cuauhtémoc,Colonia,Peralvillo,6401
6240,Ciudad de México,Cuauhtémoc,Colonia,Valle Gómez,6401
6250,Ciudad de México,Cuauhtémoc,Colonia,Ex-Hipódromo de Peralvillo,6401
6270,Ciudad de México,Cuauhtémoc,Colonia,Maza,6401
6280,Ciudad de México,Cuauhtémoc,Colonia,Felipe Pescador,6401
6300,Ciudad de México,Cuauhtémoc,Colonia,Guerrero,6401
6350,Ciudad de México,Cuauhtémoc,Colonia,Buenavista,6401
6400,Ciudad de México,Cuauhtémoc,Colonia,Santa María la Ribera,6401
6430,Ciudad de México,Cuauhtémoc,Colonia,Santa María Insurgentes,6401
6450,Ciudad de México,Cuauhtémoc,Colonia,Atlampa,6401
6470,Ciudad de México,Cuauhtémoc,Colonia,San Rafael,6401
6500,Ciudad de México,Cuauhtémoc,Colonia,Cuauhtémoc,6401
6600,Ciudad de México,Cuauhtémoc,Colonia,Juárez,6401
